rank,thai_word,syllable_count,variant_count,category,difficulty,decomposition,rtgs_romanization,variants
5065,สบายดี,3,12,compound,medium,[s/a/] | [b/aa/j] | [d/ii/],sabaidi,sabaaidee; sabaaidi; sabaaidii; sabaidee; sabaidi; sabaidii; sahbaaidee; sahbaaidi; sahbaaidii; sahbaidee; sahbaidi; sahbaidii
5104,หน้าบ้าน,2,32,variant,medium,[nh/aa/] | [b/aa/n],naban,naabaan; naabahn; naaban; naabarn; nabaan; nabahn; naban; nabarn; nahbaan; nahbahn; nahban; nahbarn; narbaan; narbahn; narban; narbarn; nhaabaan; nhaabahn; nhaaban; nhaabarn; nhabaan; nhabahn; nhaban; nhabarn; nhahbaan; nhahbahn; nhahban; nhahbarn; nharbaan; nharbahn; nharban; nharbarn
5131,ตีพิมพ์,2,12,variant,medium,[t/ii/] | [ph/i/m],tiphim,dteephim; dteepim; dtiiphim; dtiipim; dtiphim; dtipim; teephim; teepim; tiiphim; tiipim; tiphim; tipim
5155,สนทนา,3,32,compound,medium,[s/o/n] | [th/a/] | [n/aa/],sonthana,sohntahna; sohntahnaa; sohntahnah; sohntahnar; sohntana; sohntanaa; sohntanah; sohntanar; sohnthahna; sohnthahnaa; sohnthahnah; sohnthahnar; sohnthana; sohnthanaa; sohnthanah; sohnthanar; sontahna; sontahnaa; sontahnah; sontahnar; sontana; sontanaa; sontanah; sontanar; sonthahna; sonthahnaa; sonthahnah; sonthahnar; sonthana; sonthanaa; sonthanah; sonthanar
5188,ดิ้น,1,1,common,easy,[d/i/n],din,din
5335,องคมนตรี,4,96,compound,hard,[?/o/N] | [kh/a/] | [m/o/n] | [tr/ii/],ongkhamontri,ohngkahmohndtree; ohngkahmohndtri; ohngkahmohndtrii; ohngkahmohntree; ohngkahmohntri; ohngkahmohntrii; ohngkahmondtree; ohngkahmondtri; ohngkahmondtrii; ohngkahmontree; ohngkahmontri; ohngkahmontrii; ohngkamohndtree; ohngkamohndtri; ohngkamohndtrii; ohngkamohntree; ohngkamohntri; ohngkamohntrii; ohngkamondtree; ohngkamondtri; ohngkamondtrii; ohngkamontree; ohngkamontri; ohngkamontrii; ohngkhahmohndtree; ohngkhahmohndtri; ohngkhahmohndtrii; ohngkhahmohntree; ohngkhahmohntri; ohngkhahmohntrii; ohngkhahmondtree; ohngkhahmondtri; ohngkhahmondtrii; ohngkhahmontree; ohngkhahmontri; ohngkhahmontrii; ohngkhamohndtree; ohngkhamohndtri; ohngkhamohndtrii; ohngkhamohntree; ohngkhamohntri; ohngkhamohntrii; ohngkhamondtree; ohngkhamondtri; ohngkhamondtrii; ohngkhamontree; ohngkhamontri; ohngkhamontrii; ongkahmohndtree; ongkahmohndtri
5374,เมี่ยง,1,3,common,easy,[m/iia/N],miang,meang; miang; miiang
5387,ผงชูรส,3,100,compound,medium,[ph/o/N] | [ch/uu/] | [r/o/t],phongchurot,phohngchoorod; phohngchoorohd; phohngchooroht; phohngchoorot; phohngchourod; phohngchourohd; phohngchouroht; phohngchourot; phohngchurod; phohngchurohd; phohngchuroht; phohngchurot; phohngchuurod; phohngchuurohd; phohngchuuroht; phohngchuurot; phohngshoorod; phohngshoorohd; phohngshooroht; phohngshoorot; phohngshourod; phohngshourohd; phohngshouroht; phohngshourot; phohngshurod; phohngshurohd; phohngshuroht; phohngshurot; phohngshuurod; phohngshuurohd; phohngshuuroht; phohngshuurot; phongchoorod; phongchoorohd; phongchooroht; phongchoorot; phongchourod; phongchourohd; phongchouroht; phongchourot; phongchurod; phongchurohd; phongchuroht; phongchurot; phongchuurod; phongchuurohd; phongchuuroht; phongchuurot; phongshoorod; phongshoorohd
5402,งานการ,2,32,variant,medium,[N/aa/n] | [k/aa/n],ngankan,ngaangaan; ngaangahn; ngaangan; ngaangarn; ngaankaan; ngaankahn; ngaankan; ngaankarn; ngahngaan; ngahngahn; ngahngan; ngahngarn; ngahnkaan; ngahnkahn; ngahnkan; ngahnkarn; ngangaan; ngangahn; ngangan; ngangarn; ngankaan; ngankahn; ngankan; ngankarn; ngarngaan; ngarngahn; ngarngan; ngarngarn; ngarnkaan; ngarnkahn; ngarnkan; ngarnkarn
5406,ล่อ,1,4,common,easy,[l/OO/],lo,law; lo; loh; lor
5427,ยุคสมัย,3,24,compound,medium,[j/u/k] | [s/a/] | [m/aj/],yuksamai,yoogsahmaai; yoogsahmai; yoogsahmaii; yoogsamaai; yoogsamai; yoogsamaii; yooksahmaai; yooksahmai; yooksahmaii; yooksamaai; yooksamai; yooksamaii; yugsahmaai; yugsahmai; yugsahmaii; yugsamaai; yugsamai; yugsamaii; yuksahmaai; yuksahmai; yuksahmaii; yuksamaai; yuksamai; yuksamaii
5477,หนทาง,2,16,variant,medium,[h/o/n] | [th/aa/N],honthang,hohntaang; hohntahng; hohntang; hohntarng; hohnthaang; hohnthahng; hohnthang; hohntharng; hontaang; hontahng; hontang; hontarng; honthaang; honthahng; honthang; hontharng
5572,พระจันทร์,2,24,variant,medium,[phr/a/] | [c/a/n],phrachan,phrachahn; phrachan; phrachun; phrahchahn; phrahchan; phrahchun; phrahjahn; phrahjan; phrahjun; phrajahn; phrajan; phrajun; prachahn; prachan; prachun; prahchahn; prahchan; prahchun; prahjahn; prahjan; prahjun; prajahn; prajan; prajun
5605,ในขณะนั้น,4,72,compound,hard,[n/aj/] | [kh/a/] | [n/a/] | [n/a/n],naikhananan,naaikahnahnahn; naaikahnahnan; naaikahnahnun; naaikahnanahn; naaikahnanan; naaikahnanun; naaikanahnahn; naaikanahnan; naaikanahnun; naaikananahn; naaikananan; naaikananun; naaikhahnahnahn; naaikhahnahnan; naaikhahnahnun; naaikhahnanahn; naaikhahnanan; naaikhahnanun; naaikhanahnahn; naaikhanahnan; naaikhanahnun; naaikhananahn; naaikhananan; naaikhananun; naiikahnahnahn; naiikahnahnan; naiikahnahnun; naiikahnanahn; naiikahnanan; naiikahnanun; naiikanahnahn; naiikanahnan; naiikanahnun; naiikananahn; naiikananan; naiikananun; naiikhahnahnahn; naiikhahnahnan; naiikhahnahnun; naiikhahnanahn; naiikhahnanan; naiikhahnanun; naiikhanahnahn; naiikhanahnan; naiikhanahnun; naiikhananahn; naiikhananan; naiikhananun; naikahnahnahn; naikahnahnan
5670,ประโยค,2,8,common,medium,[pr/a/] | [j/oo/k],prayok,prahyog; prahyohg; prahyohk; prahyok; prayog; prayohg; prayohk; prayok
5680,ประเด็นสำคัญ,4,36,compound,hard,[pr/a/] | [d/e/n] | [s/a/m] | [kh/a/n],pradensamkhan,pradensahmkahn; pradensahmkan; pradensahmkhahn; pradensahmkhan; pradensahmkhun; pradensahmkun; pradensamkahn; pradensamkan; pradensamkhahn; pradensamkhan; pradensamkhun; pradensamkun; pradensumkahn; pradensumkan; pradensumkhahn; pradensumkhan; pradensumkhun; pradensumkun; prahdensahmkahn; prahdensahmkan; prahdensahmkhahn; prahdensahmkhan; prahdensahmkhun; prahdensahmkun; prahdensamkahn; prahdensamkan; prahdensamkhahn; prahdensamkhan; prahdensamkhun; prahdensamkun; prahdensumkahn; prahdensumkan; prahdensumkhahn; prahdensumkhan; prahdensumkhun; prahdensumkun
5703,ผู้ต้องสงสัย,4,100,compound,hard,[ph/uu/] | [t/OO/N] | [s/o/N] | [s/aj/],phutongsongsai,phoodtawngsohngsaai; phoodtawngsohngsai; phoodtawngsohngsaii; phoodtawngsongsaai; phoodtawngsongsai; phoodtawngsongsaii; phoodtohngsohngsaai; phoodtohngsohngsai; phoodtohngsohngsaii; phoodtohngsongsaai; phoodtohngsongsai; phoodtohngsongsaii; phoodtongsohngsaai; phoodtongsohngsai; phoodtongsohngsaii; phoodtongsongsaai; phoodtongsongsai; phoodtongsongsaii; phoodtorngsohngsaai; phoodtorngsohngsai; phoodtorngsohngsaii; phoodtorngsongsaai; phoodtorngsongsai; phoodtorngsongsaii; phootawngsohngsaai; phootawngsohngsai; phootawngsohngsaii; phootawngsongsaai; phootawngsongsai; phootawngsongsaii; phootohngsohngsaai; phootohngsohngsai; phootohngsohngsaii; phootohngsongsaai; phootohngsongsai; phootohngsongsaii; phootongsohngsaai; phootongsohngsai; phootongsohngsaii; phootongsongsaai; phootongsongsai; phootongsongsaii; phootorngsohngsaai; phootorngsohngsai; phootorngsohngsaii; phootorngsongsaai; phootorngsongsai; phootorngsongsaii; phoudtawngsohngsaai; phoudtawngsohngsai
5717,เจ้าแม่,2,24,variant,medium,[c/aa/w] | [m/xx/],chaomae,chaaomaae; chaaomae; chaaumaae; chaaumae; chaawmaae; chaawmae; chaomaae; chaomae; chaumaae; chaumae; chawmaae; chawmae; jaaomaae; jaaomae; jaaumaae; jaaumae; jaawmaae; jaawmae; jaomaae; jaomae; jaumaae; jaumae; jawmaae; jawmae
5741,พัฒน์,1,12,variant,medium,[ph/a/t],phat,pad; pahd; paht; pat; phad; phahd; phaht; phat; phud; phut; pud; put
5783,สงบสุข,3,32,compound,medium,[s/a/] | [N/o/p] | [s/u/k],sangopsuk,sahngobsoog; sahngobsook; sahngobsug; sahngobsuk; sahngohbsoog; sahngohbsook; sahngohbsug; sahngohbsuk; sahngohpsoog; sahngohpsook; sahngohpsug; sahngohpsuk; sahngopsoog; sahngopsook; sahngopsug; sahngopsuk; sangobsoog; sangobsook; sangobsug; sangobsuk; sangohbsoog; sangohbsook; sangohbsug; sangohbsuk; sangohpsoog; sangohpsook; sangohpsug; sangohpsuk; sangopsoog; sangopsook; sangopsug; sangopsuk
5810,กีดกัน,2,72,variant,medium,[k/ii/t] | [k/a/n],kitkan,geedgahn; geedgan; geedgun; geedkahn; geedkan; geedkun; geetgahn; geetgan; geetgun; geetkahn; geetkan; geetkun; gidgahn; gidgan; gidgun; gidkahn; gidkan; gidkun; giidgahn; giidgan; giidgun; giidkahn; giidkan; giidkun; giitgahn; giitgan; giitgun; giitkahn; giitkan; giitkun; gitgahn; gitgan; gitgun; gitkahn; gitkan; gitkun; keedgahn; keedgan; keedgun; keedkahn; keedkan; keedkun; keetgahn; keetgan; keetgun; keetkahn; keetkan; keetkun; kidgahn; kidgan
5838,พวกผม,2,32,variant,medium,[ph/ua/k] | [ph/o/m],phuakphom,phuaagphohm; phuaagphom; phuaagpohm; phuaagpom; phuaakphohm; phuaakphom; phuaakpohm; phuaakpom; phuagphohm; phuagphom; phuagpohm; phuagpom; phuakphohm; phuakphom; phuakpohm; phuakpom; puaagphohm; puaagphom; puaagpohm; puaagpom; puaakphohm; puaakphom; puaakpohm; puaakpom; puagphohm; puagphom; puagpohm; puagpom; puakphohm; puakphom; puakpohm; puakpom
5904,ป่านนี้,2,24,variant,medium,[p/aa/n] | [n/ii/],panni,bpaannee; bpaanni; bpaannii; bpahnnee; bpahnni; bpahnnii; bpannee; bpanni; bpannii; bparnnee; bparnni; bparnnii; paannee; paanni; paannii; pahnnee; pahnni; pahnnii; pannee; panni; pannii; parnnee; parnni; parnnii
5959,ใจสั่น,2,18,variant,medium,[c/aj/] | [s/a/n],chaisan,chaaisahn; chaaisan; chaaisun; chaiisahn; chaiisan; chaiisun; chaisahn; chaisan; chaisun; jaaisahn; jaaisan; jaaisun; jaiisahn; jaiisan; jaiisun; jaisahn; jaisan; jaisun
5971,สังคมนิยม,4,24,compound,hard,[s/a/N] | [kh/o/m] | [n/i/] | [j/o/m],sangkhomniyom,sahngkhohmniyohm; sahngkhohmniyom; sahngkhomniyohm; sahngkhomniyom; sahngkohmniyohm; sahngkohmniyom; sahngkomniyohm; sahngkomniyom; sangkhohmniyohm; sangkhohmniyom; sangkhomniyohm; sangkhomniyom; sangkohmniyohm; sangkohmniyom; sangkomniyohm; sangkomniyom; sungkhohmniyohm; sungkhohmniyom; sungkhomniyohm; sungkhomniyom; sungkohmniyohm; sungkohmniyom; sungkomniyohm; sungkomniyom
6011,ถ้วน,1,4,common,easy,[th/ua/n],thuan,thuaan; thuan; tuaan; tuan
6071,เลียนแบบ,2,12,variant,medium,[l/iia/n] | [b/xx/p],lianbaep,leanbaaeb; leanbaaep; leanbaeb; leanbaep; lianbaaeb; lianbaaep; lianbaeb; lianbaep; liianbaaeb; liianbaaep; liianbaeb; liianbaep
6087,ไมโล,2,6,common,easy,[m/aj/] | [l/oo/],mailo,maailo; maailoh; maiilo; maiiloh; mailo; mailoh
6098,ที่พึ่ง,2,36,variant,medium,[th/ii/] | [ph/U/N],thiphueng,teepeung; teepheung; teephueng; teephuhng; teepueng; teepuhng; theepeung; theepheung; theephueng; theephuhng; theepueng; theepuhng; thiipeung; thiipheung; thiiphueng; thiiphuhng; thiipueng; thiipuhng; thipeung; thipheung; thiphueng; thiphuhng; thipueng; thipuhng; tiipeung; tiipheung; tiiphueng; tiiphuhng; tiipueng; tiipuhng; tipeung; tipheung; tiphueng; tiphuhng; tipueng; tipuhng
6138,หายห่วง,2,4,common,easy,[h/aa/j] | [h/ua/N],haihuang,haaihuaang; haaihuang; haihuaang; haihuang
6166,ทางตรง,2,32,variant,medium,[th/aa/N] | [tr/o/N],thangtrong,taangdtrohng; taangdtrong; taangtrohng; taangtrong; tahngdtrohng; tahngdtrong; tahngtrohng; tahngtrong; tangdtrohng; tangdtrong; tangtrohng; tangtrong; tarngdtrohng; tarngdtrong; tarngtrohng; tarngtrong; thaangdtrohng; thaangdtrong; thaangtrohng; thaangtrong; thahngdtrohng; thahngdtrong; thahngtrohng; thahngtrong; thangdtrohng; thangdtrong; thangtrohng; thangtrong; tharngdtrohng; tharngdtrong; tharngtrohng; tharngtrong
6194,ปาด,1,16,variant,easy,[p/aa/t],pat,bpaad; bpaat; bpad; bpahd; bpaht; bpard; bpart; bpat; paad; paat; pad; pahd; paht; pard; part; pat
6196,หมัด,1,12,variant,easy,[mh/a/t],mat,mad; mahd; maht; mat; mhad; mhahd; mhaht; mhat; mhud; mhut; mud; mut
6226,เอียด,1,6,common,easy,[?/iia/t],iat,ead; eat; iad; iat; iiad; iiat
6256,ปาฐกถา,4,100,compound,hard,[p/aa/] | [th/a/] | [k/a/] | [th/aa/],pathakatha,bpaatagahta; bpaatagahtaa; bpaatagahtah; bpaatagahtar; bpaatagahtha; bpaatagahthaa; bpaatagahthah; bpaatagahthar; bpaatagata; bpaatagataa; bpaatagatah; bpaatagatar; bpaatagatha; bpaatagathaa; bpaatagathah; bpaatagathar; bpaatahgahta; bpaatahgahtaa; bpaatahgahtah; bpaatahgahtar; bpaatahgahtha; bpaatahgahthaa; bpaatahgahthah; bpaatahgahthar; bpaatahgata; bpaatahgataa; bpaatahgatah; bpaatahgatar; bpaatahgatha; bpaatahgathaa; bpaatahgathah; bpaatahgathar; bpaatahkahta; bpaatahkahtaa; bpaatahkahtah; bpaatahkahtar; bpaatahkahtha; bpaatahkahthaa; bpaatahkahthah; bpaatahkahthar; bpaatahkata; bpaatahkataa; bpaatahkatah; bpaatahkatar; bpaatahkatha; bpaatahkathaa; bpaatahkathah; bpaatahkathar; bpaatakahta; bpaatakahtaa
6299,ขึ้นชื่อว่า,3,100,compound,medium,[kh/U/n] | [ch/UU/] | [w/aa/],khuenchuewa,keuncheuva; keuncheuvaa; keuncheuvah; keuncheuvar; keuncheuwa; keuncheuwaa; keuncheuwah; keuncheuwar; keunchueeva; keunchueevaa; keunchueevah; keunchueevar; keunchueewa; keunchueewaa; keunchueewah; keunchueewar; keunchueva; keunchuevaa; keunchuevah; keunchuevar; keunchuewa; keunchuewaa; keunchuewah; keunchuewar; keunchuhva; keunchuhvaa; keunchuhvah; keunchuhvar; keunchuhwa; keunchuhwaa; keunchuhwah; keunchuhwar; keunsheuva; keunsheuvaa; keunsheuvah; keunsheuvar; keunsheuwa; keunsheuwaa; keunsheuwah; keunsheuwar; keunshueeva; keunshueevaa; keunshueevah; keunshueevar; keunshueewa; keunshueewaa; keunshueewah; keunshueewar; keunshueva; keunshuevaa
6322,แดรก,1,1,common,easy,[d/rxxk/],draek,drxxk
6326,อือ,1,4,common,easy,[?/UU/],ue,eu; ue; uee; uh
6331,ดุดัน,2,6,common,easy,[d/u/] | [d/a/n],dudan,doodahn; doodan; doodun; dudahn; dudan; dudun
6364,ค่าครองชีพ,3,100,compound,medium,[kh/aa/] | [khr/OO/N] | [ch/ii/p],khakhrongchip,kaakhrawngcheeb; kaakhrawngcheep; kaakhrawngchib; kaakhrawngchiib; kaakhrawngchiip; kaakhrawngchip; kaakhrawngsheeb; kaakhrawngsheep; kaakhrawngshib; kaakhrawngshiib; kaakhrawngshiip; kaakhrawngship; kaakhrohngcheeb; kaakhrohngcheep; kaakhrohngchib; kaakhrohngchiib; kaakhrohngchiip; kaakhrohngchip; kaakhrohngsheeb; kaakhrohngsheep; kaakhrohngshib; kaakhrohngshiib; kaakhrohngshiip; kaakhrohngship; kaakhrongcheeb; kaakhrongcheep; kaakhrongchib; kaakhrongchiib; kaakhrongchiip; kaakhrongchip; kaakhrongsheeb; kaakhrongsheep; kaakhrongshib; kaakhrongshiib; kaakhrongshiip; kaakhrongship; kaakhrorngcheeb; kaakhrorngcheep; kaakhrorngchib; kaakhrorngchiib; kaakhrorngchiip; kaakhrorngchip; kaakhrorngsheeb; kaakhrorngsheep; kaakhrorngshib; kaakhrorngshiib; kaakhrorngshiip; kaakhrorngship; kaakrawngcheeb; kaakrawngcheep
6384,ซอน,1,4,common,easy,[s/OO/n],son,sawn; sohn; son; sorn
6397,บำนาญ,2,12,variant,medium,[b/a/m] | [n/aa/n],bamnan,bahmnaan; bahmnahn; bahmnan; bahmnarn; bamnaan; bamnahn; bamnan; bamnarn; bumnaan; bumnahn; bumnan; bumnarn
6434,ยามา,2,16,variant,medium,[j/aa/] | [m/aa/],yama,yaama; yaamaa; yaamah; yaamar; yahma; yahmaa; yahmah; yahmar; yama; yamaa; yamah; yamar; yarma; yarmaa; yarmah; yarmar
6447,มาสคาร่า,3,100,compound,medium,[m/aa/t] | [kh/aa/] | [r/aa/],matkhara,maadkaara; maadkaaraa; maadkaarah; maadkaarar; maadkahra; maadkahraa; maadkahrah; maadkahrar; maadkara; maadkaraa; maadkarah; maadkarar; maadkarra; maadkarraa; maadkarrah; maadkarrar; maadkhaara; maadkhaaraa; maadkhaarah; maadkhaarar; maadkhahra; maadkhahraa; maadkhahrah; maadkhahrar; maadkhara; maadkharaa; maadkharah; maadkharar; maadkharra; maadkharraa; maadkharrah; maadkharrar; maatkaara; maatkaaraa; maatkaarah; maatkaarar; maatkahra; maatkahraa; maatkahrah; maatkahrar; maatkara; maatkaraa; maatkarah; maatkarar; maatkarra; maatkarraa; maatkarrah; maatkarrar; maatkhaara; maatkhaaraa
6455,อวย,1,2,common,easy,[?/uaj/],uai,uai; uay
6457,เป็นระยะ,3,8,compound,medium,[p/e/n] | [r/a/] | [j/a/],penraya,bpenrahya; bpenrahyah; bpenraya; bpenrayah; penrahya; penrahyah; penraya; penrayah
6502,สนามหลวง,3,16,compound,medium,[s/a/] | [n/aa/m] | [l/ua/N],sanamluang,sahnaamluaang; sahnaamluang; sahnahmluaang; sahnahmluang; sahnamluaang; sahnamluang; sahnarmluaang; sahnarmluang; sanaamluaang; sanaamluang; sanahmluaang; sanahmluang; sanamluaang; sanamluang; sanarmluaang; sanarmluang
6546,มมมม,2,4,common,easy,[m/o/m] | [m/o/m],mommom,mohmmohm; mohmmom; mommohm; mommom
6549,มุ่งมั่น,2,6,common,easy,[m/u/N] | [m/a/n],mungman,moongmahn; moongman; moongmun; mungmahn; mungman; mungmun
6600,กฎกระทรวง,3,64,compound,medium,[k/o/t] | [kr/a/] | [s/ua/N],kotkrasuang,godgrahsuaang; godgrahsuang; godgrasuaang; godgrasuang; godkrahsuaang; godkrahsuang; godkrasuaang; godkrasuang; gohdgrahsuaang; gohdgrahsuang; gohdgrasuaang; gohdgrasuang; gohdkrahsuaang; gohdkrahsuang; gohdkrasuaang; gohdkrasuang; gohtgrahsuaang; gohtgrahsuang; gohtgrasuaang; gohtgrasuang; gohtkrahsuaang; gohtkrahsuang; gohtkrasuaang; gohtkrasuang; gotgrahsuaang; gotgrahsuang; gotgrasuaang; gotgrasuang; gotkrahsuaang; gotkrahsuang; gotkrasuaang; gotkrasuang; kodgrahsuaang; kodgrahsuang; kodgrasuaang; kodgrasuang; kodkrahsuaang; kodkrahsuang; kodkrasuaang; kodkrasuang; kohdgrahsuaang; kohdgrahsuang; kohdgrasuaang; kohdgrasuang; kohdkrahsuaang; kohdkrahsuang; kohdkrasuaang; kohdkrasuang; kohtgrahsuaang; kohtgrahsuang
6604,โซ่,1,2,common,easy,[s/oo/],so,so; soh
6712,แหลก,1,4,common,easy,[l/xx/k],laek,laaeg; laaek; laeg; laek
6717,เหลี่ยม,1,3,common,easy,[l/iia/m],liam,leam; liam; liiam
6725,ปลายทาง,2,16,variant,medium,[pl/aa/j] | [th/aa/N],plaithang,plaaitaang; plaaitahng; plaaitang; plaaitarng; plaaithaang; plaaithahng; plaaithang; plaaitharng; plaitaang; plaitahng; plaitang; plaitarng; plaithaang; plaithahng; plaithang; plaitharng
6868,จุดอ่อน,2,32,variant,medium,[c/u/t] | [?/OO/n],chut-on,choodawn; choodohn; choodon; choodorn; chootawn; chootohn; chooton; chootorn; chudawn; chudohn; chudon; chudorn; chutawn; chutohn; chuton; chutorn; joodawn; joodohn; joodon; joodorn; jootawn; jootohn; jooton; jootorn; judawn; judohn; judon; judorn; jutawn; jutohn; juton; jutorn
6874,จ้อ,1,8,common,medium,[c/OO/],cho,chaw; cho; choh; chor; jaw; jo; joh; jor
6893,ผู้บัญชาการทหารบก,7,100,compound,hard,[ph/uu/] | [b/a/n] | [ch/aa/] | [k/aa/n] | [th/a/] | [h/aa/n] | [b/o/k],phubanchakanthahanbok,phoobahnchaagaantahaanbog; phoobahnchaagaantahaanbohg; phoobahnchaagaantahaanbohk; phoobahnchaagaantahaanbok; phoobahnchaagaantahahnbog; phoobahnchaagaantahahnbohg; phoobahnchaagaantahahnbohk; phoobahnchaagaantahahnbok; phoobahnchaagaantahanbog; phoobahnchaagaantahanbohg; phoobahnchaagaantahanbohk; phoobahnchaagaantahanbok; phoobahnchaagaantaharnbog; phoobahnchaagaantaharnbohg; phoobahnchaagaantaharnbohk; phoobahnchaagaantaharnbok; phoobahnchaagaantahhaanbog; phoobahnchaagaantahhaanbohg; phoobahnchaagaantahhaanbohk; phoobahnchaagaantahhaanbok; phoobahnchaagaantahhahnbog; phoobahnchaagaantahhahnbohg; phoobahnchaagaantahhahnbohk; phoobahnchaagaantahhahnbok; phoobahnchaagaantahhanbog; phoobahnchaagaantahhanbohg; phoobahnchaagaantahhanbohk; phoobahnchaagaantahhanbok; phoobahnchaagaantahharnbog; phoobahnchaagaantahharnbohg; phoobahnchaagaantahharnbohk; phoobahnchaagaantahharnbok; phoobahnchaagaanthahaanbog; phoobahnchaagaanthahaanbohg; phoobahnchaagaanthahaanbohk; phoobahnchaagaanthahaanbok; phoobahnchaagaanthahahnbog; phoobahnchaagaanthahahnbohg; phoobahnchaagaanthahahnbohk; phoobahnchaagaanthahahnbok; phoobahnchaagaanthahanbog; phoobahnchaagaanthahanbohg; phoobahnchaagaanthahanbohk; phoobahnchaagaanthahanbok; phoobahnchaagaanthaharnbog; phoobahnchaagaanthaharnbohg; phoobahnchaagaanthaharnbohk; phoobahnchaagaanthaharnbok; phoobahnchaagaanthahhaanbog; phoobahnchaagaanthahhaanbohg
6976,เปิดรับ,2,100,variant,medium,[p/@@/t] | [r/a/p],poetrap,bpeodrab; bpeodrahb; bpeodrahp; bpeodrap; bpeodrub; bpeodrup; bpeotrab; bpeotrahb; bpeotrahp; bpeotrap; bpeotrub; bpeotrup; bperdrab; bperdrahb; bperdrahp; bperdrap; bperdrub; bperdrup; bpertrab; bpertrahb; bpertrahp; bpertrap; bpertrub; bpertrup; bpoedrab; bpoedrahb; bpoedrahp; bpoedrap; bpoedrub; bpoedrup; bpoetrab; bpoetrahb; bpoetrahp; bpoetrap; bpoetrub; bpoetrup; bpuhdrab; bpuhdrahb; bpuhdrahp; bpuhdrap; bpuhdrub; bpuhdrup; bpuhtrab; bpuhtrahb; bpuhtrahp; bpuhtrap; bpuhtrub; bpuhtrup; bpurdrab; bpurdrahb
6981,เป็นเจ้าภาพ,3,100,compound,medium,[p/e/n] | [c/aa/w] | [ph/aa/p],penchaophap,bpenchaaopaab; bpenchaaopaap; bpenchaaopab; bpenchaaopahb; bpenchaaopahp; bpenchaaopap; bpenchaaoparb; bpenchaaoparp; bpenchaaophaab; bpenchaaophaap; bpenchaaophab; bpenchaaophahb; bpenchaaophahp; bpenchaaophap; bpenchaaopharb; bpenchaaopharp; bpenchaaupaab; bpenchaaupaap; bpenchaaupab; bpenchaaupahb; bpenchaaupahp; bpenchaaupap; bpenchaauparb; bpenchaauparp; bpenchaauphaab; bpenchaauphaap; bpenchaauphab; bpenchaauphahb; bpenchaauphahp; bpenchaauphap; bpenchaaupharb; bpenchaaupharp; bpenchaawpaab; bpenchaawpaap; bpenchaawpab; bpenchaawpahb; bpenchaawpahp; bpenchaawpap; bpenchaawparb; bpenchaawparp; bpenchaawphaab; bpenchaawphaap; bpenchaawphab; bpenchaawphahb; bpenchaawphahp; bpenchaawphap; bpenchaawpharb; bpenchaawpharp; bpenchaopaab; bpenchaopaap
6999,ไดร์,1,3,common,easy,[d/aj/],dai,daai; dai; daii
7003,กุม,1,4,common,easy,[k/u/m],kum,goom; gum; koom; kum
7061,โค่น,1,4,common,easy,[kh/oo/n],khon,khohn; khon; kohn; kon
7084,กาง,1,8,common,easy,[k/aa/N],kang,gaang; gahng; gang; garng; kaang; kahng; kang; karng
7122,เสมอภาค,3,100,compound,medium,[s/a/] | [m/@@/] | [ph/aa/k],samoephak,sahmeopaag; sahmeopaak; sahmeopag; sahmeopahg; sahmeopahk; sahmeopak; sahmeoparg; sahmeopark; sahmeophaag; sahmeophaak; sahmeophag; sahmeophahg; sahmeophahk; sahmeophak; sahmeopharg; sahmeophark; sahmerpaag; sahmerpaak; sahmerpag; sahmerpahg; sahmerpahk; sahmerpak; sahmerparg; sahmerpark; sahmerphaag; sahmerphaak; sahmerphag; sahmerphahg; sahmerphahk; sahmerphak; sahmerpharg; sahmerphark; sahmoepaag; sahmoepaak; sahmoepag; sahmoepahg; sahmoepahk; sahmoepak; sahmoeparg; sahmoepark; sahmoephaag; sahmoephaak; sahmoephag; sahmoephahg; sahmoephahk; sahmoephak; sahmoepharg; sahmoephark; sahmuhpaag; sahmuhpaak
7128,แกงคั่ว,2,16,variant,medium,[k/xx/N] | [kh/ua/],kaengkhua,gaaengkhua; gaaengkhuaa; gaaengkua; gaaengkuaa; gaengkhua; gaengkhuaa; gaengkua; gaengkuaa; kaaengkhua; kaaengkhuaa; kaaengkua; kaaengkuaa; kaengkhua; kaengkhuaa; kaengkua; kaengkuaa
